timestamp,x,y,z
0,0.85,7.49,7.57
10,1.26,7.6,7.68
20,1.68,7.74,7.85
30,1.92,7.83,8.26
40,1.92,7.8,8.5
50,1.91,7.81,8.18
60,2.05,7.91,7.6
70,2.49,7.99,7.43
80,3.03,8.14,7.64
90,3.15,8.22,7.87
100,2.88,8.23,7.91
110,2.16,8.31,7.82
120,1.78,8.5,7.9
130,1.98,8.76,8.11
140,2.27,9.09,8.19
150,2.45,9.37,8.12
160,2.58,9.62,7.88
170,2.79,9.81,7.61
180,2.45,9.95,7.28
190,1.59,10.05,6.99
200,0.54,10.18,7.01
210,-0.33,10.27,7.22
220,-1.07,10.28,7.6
230,-1.71,10.22,7.98
240,-1.9,10.03,8.08
250,-1.85,9.72,7.7
260,-1.88,9.35,7.06
270,-2.15,8.89,6.55
280,-2.55,8.38,6.13
290,-3.07,7.92,5.69
300,-3.68,7.43,5.09
310,-4.23,6.93,4.44
320,-4.84,6.41,3.97
330,-5.51,5.95,3.55
340,-5.96,5.51,3.37
350,-6.09,5.12,3.48
360,-6.0,4.73,3.87
370,-5.83,4.35,4.49
380,-5.74,4.01,5.06
390,-5.64,3.7,5.58
400,-5.52,3.43,5.9
410,-5.31,3.16,5.98
420,-4.85,2.93,5.74
430,-4.25,2.82,5.66
440,-3.42,2.7,5.93
450,-2.5,2.64,6.21
460,-1.94,2.59,6.34
470,-1.89,2.52,6.33
480,-2.16,2.57,6.32
490,-2.54,2.67,6.14
500,-2.78,2.69,5.77
510,-2.82,2.77,5.33
520,-2.4,2.89,4.95
530,-1.37,3.01,4.8
540,-0.09,3.24,5.12
550,1.07,3.63,5.91
560,1.7,4.14,7.24
570,1.62,4.6,8.44
580,0.78,4.88,9.05
590,-0.57,4.92,8.71
600,-1.57,4.81,7.59
610,-2.1,4.85,6.25
620,-1.77,4.88,5.7
630,-0.69,4.96,5.9
640,0.49,5.11,6.13
650,1.39,5.43,5.92
660,2.06,5.72,5.59
670,2.35,5.96,5.64
680,2.32,6.12,6.02
690,2.08,6.22,6.25
700,1.78,6.28,6.4
710,1.67,6.44,6.76
720,1.88,6.58,7.17
730,2.66,6.76,7.2
740,4.18,6.82,6.66
750,6.13,7.0,5.88
760,7.53,7.36,5.53
770,7.85,7.87,5.67
780,7.12,8.45,6.6
790,6.66,9.05,7.99
800,7.46,9.51,9.11
810,9.36,9.87,9.22
820,12.07,10.53,8.95
830,14.93,10.95,10.01
840,16.29,11.22,11.86
850,14.46,11.4,12.76
860,10.51,11.85,12.29
870,7.22,12.32,11.31
880,5.62,12.81,10.84
