timestamp,x,y,z
0,0.48,6.89,7.81
10,0.6,6.9,7.79
20,0.69,6.91,7.75
30,0.72,6.92,7.76
40,0.68,6.95,7.86
50,0.65,6.96,7.88
60,0.63,6.99,7.88
70,0.74,7.01,7.86
80,0.92,6.99,7.81
90,1.04,6.97,7.73
100,1.03,6.97,7.65
110,0.9,6.99,7.61
120,0.68,6.96,7.62
130,0.48,6.98,7.69
140,0.43,6.96,7.78
150,0.56,6.95,7.86
160,0.76,6.9,7.84
170,0.85,6.88,7.75
180,0.77,6.9,7.65
190,0.65,6.9,7.61
200,0.57,6.86,7.68
210,0.56,6.87,7.76
220,0.6,6.88,7.81
230,0.68,6.88,7.81
240,0.63,6.91,7.7
250,0.58,6.92,7.55
260,0.7,6.89,7.52
270,0.81,6.87,7.47
280,0.73,6.88,7.55
290,0.67,6.91,7.56
300,0.67,6.91,7.6
310,0.7,6.87,7.6
320,0.68,6.85,7.61
330,0.59,6.87,7.65
340,0.49,6.9,7.65
350,0.52,6.99,7.67
360,0.78,7.04,7.69
370,1.07,7.03,7.73
380,1.12,7.06,7.77
390,0.9,7.06,7.74
400,0.53,7.03,7.63
410,0.2,6.99,7.5
420,-0.02,6.96,7.38
430,-0.02,6.94,7.41
440,0.05,6.92,7.57
450,0.2,6.9,7.75
460,0.31,6.91,7.96
470,0.39,6.93,7.99
480,0.46,6.93,7.96
490,0.48,6.93,7.84
500,0.35,6.92,7.66
510,0.13,6.97,7.52
520,-0.06,6.98,7.57
530,-0.18,6.97,7.7
540,-0.17,6.96,7.82
550,0.04,6.98,7.91
560,0.32,6.96,7.87
570,0.47,6.9,7.73
580,0.44,6.84,7.59
590,0.23,6.77,7.49
600,-0.05,6.68,7.35
610,-0.2,6.62,7.32
620,-0.2,6.5,7.39
630,-0.19,6.41,7.41
640,-0.16,6.36,7.43
650,-0.11,6.31,7.37
660,-0.06,6.22,7.28
670,-0.04,6.13,7.23
680,-0.03,6.05,7.26
690,-0.02,5.97,7.26
700,0.05,5.89,7.31
710,0.15,5.74,7.35
720,0.3,5.54,7.33
730,0.29,5.33,7.28
740,0.09,5.15,7.1
750,-0.19,4.92,6.89
760,-0.47,4.69,6.66
770,-0.74,4.5,6.47
780,-0.84,4.45,6.35
790,-0.79,4.4,6.6
800,-0.47,4.45,7.08
810,-0.15,4.41,7.71
820,-0.25,4.44,8.06
830,-0.54,4.56,8.16
840,-0.52,4.75,7.92
850,-0.05,4.74,7.52
860,0.55,4.55,6.97
870,0.9,4.57,6.42
880,1.03,4.74,6.09
890,1.17,4.81,6.14
900,1.58,4.83,6.45
910,2.22,4.9,6.77
920,3.11,4.97,6.89
930,3.94,4.97,6.81
940,4.74,5.07,6.56
950,5.3,4.98,6.42
960,5.74,5.09,6.3
970,6.26,5.27,6.36
980,6.63,5.12,6.91
990,6.88,5.07,7.55
1000,6.75,5.19,8.33
1010,6.66,5.29,9.06
1020,6.94,5.35,9.73
