timestamp,x,y,z
0,-0.46,7.49,7.23
10,-0.28,7.5,7.45
20,-0.11,7.45,7.54
30,1.44,7.92,7.21
40,1.9,8.24,6.68
50,2.09,8.24,5.84
60,2.11,7.97,5.51
70,1.73,7.75,5.36
80,1.17,7.83,4.89
90,0.65,7.93,4.52
100,0.36,7.92,4.53
110,-0.47,7.44,4.8
120,-0.92,7.35,4.99
130,-1.16,6.97,4.84
140,-2.04,6.26,4.8
150,-2.34,6.14,4.16
160,-2.29,6.54,3.48
170,-1.92,7.23,3.95
180,-1.76,6.09,4.65
190,-1.69,5.51,4.7
200,-1.3,5.66,4.5
210,-1.08,4.94,4.94
220,-0.61,4.63,5.83
230,-0.15,4.9,7.28
240,0.73,5.76,8.45
250,1.53,5.21,8.17
260,2.54,3.66,6.12
270,4.36,3.14,6.49
280,5.17,2.8,7.47
290,5.55,2.19,7.95
300,4.5,1.27,7.84
310,4.81,2.37,6.68
320,5.45,3.79,7.15
330,5.39,2.43,8.25
340,5.06,2.01,9.08
350,4.83,1.33,8.66
360,5.22,1.64,8.64
370,5.56,1.05,8.47
380,5.45,0.92,9.07
390,5.19,0.23,9.45
400,5.42,0.49,9.79
410,6.43,0.77,10.6
420,7.49,1.2,11.72
430,7.94,1.48,12.42
440,7.97,1.24,12.35
450,7.79,1.39,12.12
460,7.95,1.37,12.04
470,8.15,1.36,11.89
480,8.07,1.43,11.89
490,7.85,1.42,11.95
500,7.78,1.38,11.76
510,7.97,1.27,11.39
520,8.27,1.13,11.08
530,7.99,1.17,11.09
540,7.45,1.35,11.32
550,6.97,1.54,11.42
560,6.9,1.66,11.25
570,6.94,1.8,11.11
580,6.69,1.9,11.25
590,6.26,1.91,11.32
600,5.88,1.93,11.26
610,5.54,1.97,11.1
620,5.02,2.05,11.12
630,4.56,2.23,11.12
640,4.07,2.44,11.17
650,3.79,2.76,11.13
660,3.73,3.07,11.11
670,3.67,3.26,10.97
680,3.8,3.36,10.64
690,3.83,3.45,10.33
700,3.8,3.58,10.18
710,3.67,3.72,10.29
720,3.26,3.85,10.51
730,3.0,3.97,10.74
740,2.78,4.04,10.91
750,3.01,4.12,10.88
760,3.28,4.12,10.87
770,3.22,4.2,11.03
780,2.78,4.31,11.19
790,2.34,4.39,11.21
800,2.15,4.49,11.02
810,2.18,4.52,10.5
820,2.33,4.49,10.11
830,2.29,4.45,9.98
840,2.15,4.53,9.98
850,1.96,4.66,10.01
860,1.88,4.82,9.9
870,1.76,4.94,9.72
880,1.45,4.84,9.45
890,1.11,4.85,9.29
900,0.7,4.97,9.28
910,0.12,4.95,9.52
920,-0.21,5.05,9.45
930,-0.23,4.99,9.37
940,-0.62,5.01,9.16
950,-1.04,5.0,8.87
960,-1.4,4.97,8.49
970,-1.52,4.92,8.26
980,-1.5,5.11,8.21
990,-1.24,5.33,8.46
1000,-1.19,5.44,8.68
1010,-1.25,5.64,8.73
1020,-1.18,5.68,8.74
1030,-1.17,5.57,8.49
1040,-1.3,5.66,7.84
1050,-1.19,5.53,7.32
1060,-1.0,5.51,7.24
1070,-1.29,5.6,7.73
1080,-1.81,5.72,8.24
1090,-2.15,5.82,8.39
1100,-2.2,5.86,8.5
1110,-1.88,5.79,8.25
1120,-1.4,5.66,7.93
1130,-0.96,5.66,7.8
1140,-0.89,5.76,7.83
1150,-1.09,5.83,7.77
1160,-1.3,5.94,7.81
1170,-1.49,5.89,7.81
1180,-1.38,5.88,7.71
1190,-1.04,5.96,7.74
1200,-0.79,5.93,7.66
1210,-0.73,6.0,7.59
1220,-0.78,5.97,7.75
1230,-1.03,5.95,7.83
1240,-0.97,5.95,7.78
1250,-0.83,5.98,7.66
1260,-0.6,6.0,7.67
1270,-0.34,6.08,7.81
1280,-0.12,6.11,8.03
1290,-0.02,6.11,8.02
1300,-0.09,6.1,7.92
1310,-0.02,6.06,7.63
1320,0.34,5.91,7.13
1330,0.29,5.83,6.85
1340,0.01,5.83,6.94
1350,-0.14,5.9,7.25
1360,-0.06,5.93,7.47
1370,0.08,5.93,7.52
1380,0.19,5.92,7.48
1390,0.15,5.88,7.35
1400,-0.0,5.78,7.1
1410,-0.01,5.7,6.83
1420,0.12,5.6,6.74
1430,0.14,5.69,6.64
1440,0.39,5.67,6.58
1450,0.69,5.62,6.41
1460,0.85,5.66,6.3
1470,0.85,5.78,6.5
1480,0.78,5.8,6.82
1490,0.72,5.86,7.03
1500,0.88,5.87,7.04
1510,1.13,5.88,7.1
1520,1.28,5.97,7.28
1530,1.5,6.04,7.46
1540,1.62,6.09,7.56
1550,1.69,6.21,7.63
1560,1.68,6.34,7.83
1570,1.68,6.37,7.99
1580,1.55,6.38,7.91
1590,1.55,6.29,7.67
1600,1.71,6.25,7.47
1610,1.96,6.23,7.52
1620,2.12,6.42,7.78
1630,2.24,6.56,8.15
1640,2.35,6.64,8.54
1650,2.23,6.71,8.75
1660,2.04,6.71,8.75
1670,1.85,6.63,8.53
1680,1.66,6.56,8.26
1690,1.73,6.46,8.17
1700,1.99,6.46,8.17
1710,2.17,6.51,8.25
1720,2.17,6.53,8.46
1730,2.03,6.58,8.67
1740,1.91,6.55,8.79
1750,1.68,6.52,8.73
1760,1.48,6.42,8.55
1770,1.3,6.35,8.32
1780,1.26,6.29,8.18
1790,1.4,6.31,8.1
1800,1.67,6.33,8.15
1810,1.83,6.54,8.33
1820,1.92,6.7,8.59
1830,2.01,6.8,8.73
1840,1.97,6.85,8.81
1850,1.86,6.86,8.78
1860,1.8,6.79,8.66
1870,1.87,6.81,8.56
1880,1.88,6.83,8.62
1890,1.86,6.85,8.68
1900,1.8,6.84,8.64
1910,1.82,6.81,8.64
1920,1.79,6.8,8.7
1930,1.76,6.77,8.8
1940,1.75,6.73,8.8
1950,1.7,6.63,8.85
1960,1.64,6.59,8.89
1970,1.57,6.57,8.94
1980,1.41,6.56,8.86
1990,1.27,6.49,8.73
2000,1.2,6.44,8.63
