timestamp,x,y,z
0,-1.19,7.3,7.48
10,-1.12,7.28,7.45
20,-1.02,7.24,7.24
30,-0.95,7.3,6.96
40,-0.84,7.32,6.58
50,-0.78,7.29,6.33
60,-0.83,7.27,6.23
70,-1.08,7.24,6.31
80,-1.51,7.23,6.58
90,-1.91,7.15,6.8
100,-2.15,7.13,7.03
110,-2.18,7.21,7.14
120,-1.94,7.24,7.09
130,-1.66,7.25,6.96
140,-1.54,7.24,6.81
150,-1.58,7.29,6.55
160,-1.71,7.36,6.37
170,-1.75,7.38,6.31
180,-1.64,7.31,6.45
190,-1.54,7.21,6.76
200,-1.5,7.13,7.15
210,-1.56,6.99,7.43
220,-1.57,6.85,7.52
230,-1.48,6.74,7.4
240,-1.35,6.63,7.22
250,-1.24,6.46,7.05
260,-1.24,6.4,7.0
270,-1.36,6.32,6.97
280,-1.46,6.19,6.79
290,-1.49,6.04,6.6
300,-1.54,5.92,6.36
310,-1.62,5.86,6.04
320,-1.71,5.88,5.76
330,-1.71,5.86,5.57
340,-1.66,5.8,5.46
350,-1.54,5.74,5.44
360,-1.52,5.64,5.49
370,-1.58,5.54,5.64
380,-1.65,5.44,5.88
390,-1.6,5.27,6.2
400,-1.55,5.11,6.45
410,-1.56,5.01,6.64
420,-1.52,4.95,6.72
430,-1.53,4.84,6.76
440,-1.79,4.72,6.74
450,-2.17,4.76,6.72
460,-2.24,4.8,6.94
470,-1.77,4.87,7.37
480,-0.78,4.88,7.74
490,0.45,4.99,7.85
500,1.71,5.01,7.61
510,2.51,5.04,7.22
520,2.92,5.2,6.66
530,2.96,5.37,6.26
540,2.73,5.62,6.28
550,2.74,5.79,6.65
560,2.97,5.67,7.12
570,3.18,5.74,7.29
580,3.31,5.86,7.26
590,3.64,6.24,7.27
600,4.42,6.43,7.64
610,5.57,6.45,8.14
620,6.46,6.34,8.37
630,6.47,6.17,8.2
640,5.74,6.51,7.52
650,5.07,6.76,7.05
660,4.94,6.98,7.14
670,5.9,7.21,7.44
680,7.2,7.19,7.65
690,8.04,7.13,7.35
700,7.68,7.58,7.05
710,6.76,8.31,7.08
720,6.09,9.15,7.71
730,6.54,9.41,8.28
740,7.49,9.66,8.3
750,8.11,10.11,7.9
760,7.88,10.3,7.53
770,6.85,10.81,7.35
780,5.24,11.61,7.82
790,4.39,12.4,8.57
800,5.42,12.69,9.16
810,7.36,12.36,9.31
820,8.35,11.96,9.02
830,7.69,11.54,8.78
840,5.8,11.01,8.69
850,3.3,10.42,8.79
860,0.96,10.06,9.04
870,-0.72,9.84,9.31
880,-1.69,9.54,9.77
890,-1.74,8.72,10.35
900,-2.08,8.15,11.07
910,-2.77,7.99,11.48
920,-3.36,7.84,11.7
930,-3.08,7.86,11.58
940,-1.98,7.67,11.31
