timestamp,x,y,z
0,1.42,8.62,7.3
10,2.08,8.81,7.68
20,2.08,8.96,8.06
30,1.51,8.95,7.98
40,0.73,9.02,7.46
50,0.25,9.0,7.13
60,0.07,8.85,7.17
70,-0.71,8.66,7.09
80,-0.81,8.58,7.05
90,-0.85,8.32,7.17
100,-1.25,8.11,7.03
110,-1.53,7.81,6.66
120,-2.08,7.52,6.28
130,-2.55,7.3,6.01
140,-3.2,6.97,5.85
150,-3.72,6.72,5.3
160,-3.93,6.51,4.82
170,-4.47,6.27,4.69
180,-4.98,6.1,4.53
190,-5.23,5.89,4.49
200,-4.99,5.71,4.72
210,-4.56,5.52,5.24
220,-4.29,5.33,5.69
230,-4.24,5.18,5.92
240,-4.35,5.02,5.99
250,-4.27,4.8,5.72
260,-3.82,4.67,5.28
270,-2.87,4.65,5.14
280,-1.72,4.71,5.54
290,-0.85,4.69,6.05
300,-0.48,4.65,6.34
310,-0.45,4.53,6.29
320,-0.54,4.28,5.98
330,-0.72,3.98,5.54
340,-1.2,3.76,5.01
350,-1.37,3.5,4.32
360,-1.57,3.26,3.99
370,-2.1,3.18,3.85
380,-2.55,3.16,4.13
390,-2.51,3.51,4.64
400,-1.83,3.55,5.17
410,-0.28,3.82,5.55
420,1.41,4.0,6.04
430,2.79,4.3,6.43
440,3.99,4.51,6.66
450,4.37,4.88,6.97
460,4.07,5.33,7.31
470,3.38,5.83,7.85
480,3.91,6.27,7.87
490,6.06,6.83,7.7
500,9.26,7.24,7.83
510,11.73,7.68,8.04
520,12.74,8.09,8.28
530,11.66,8.38,8.17
540,10.24,8.59,7.78
550,9.3,9.16,7.68
560,9.38,9.62,7.95
570,11.16,10.19,8.97
580,11.49,10.34,10.09
590,10.4,10.86,10.28
600,8.84,11.56,10.48
610,7.06,12.15,10.44
620,4.65,12.71,9.18
630,3.58,13.09,7.89
640,4.16,13.34,7.68
650,4.88,13.52,7.57
660,4.69,13.49,7.09
670,3.92,13.44,6.94
680,2.99,13.05,7.28
690,1.54,12.63,8.11
700,-0.2,12.26,9.06
710,-1.79,11.8,9.94
720,-2.89,11.35,10.56
730,-3.86,10.88,11.34
740,-4.3,10.47,11.99
750,-3.85,10.09,12.58
760,-2.78,9.53,13.55
770,-2.27,8.83,14.22
780,-3.05,8.17,14.05
790,-4.36,7.76,13.14
800,-5.05,7.58,11.84
810,-5.09,7.35,10.74
820,-4.83,7.2,10.0
830,-4.38,6.92,9.52
840,-4.18,6.65,9.05
850,-4.06,6.43,8.39
860,-3.35,5.79,7.97
870,-2.66,5.34,8.02
880,-2.84,5.12,8.21
890,-3.94,4.87,8.46
900,-5.4,4.75,8.54
910,-6.91,4.56,8.51
920,-8.35,4.32,8.34
930,-9.46,4.06,8.01
940,-9.81,3.7,7.62
950,-9.28,3.28,7.31
960,-8.13,2.95,7.23
970,-6.7,2.94,7.16
980,-5.32,2.88,7.12
990,-3.81,2.9,7.24
1000,-2.79,2.9,7.24
1010,-2.18,2.94,7.12
1020,-1.97,2.7,6.88
1030,-2.31,2.56,6.38
1040,-2.81,2.47,5.63
1050,-3.01,2.58,4.65
1060,-3.19,2.73,3.73
1070,-3.39,2.95,3.29
1080,-3.41,3.09,3.13
1090,-3.04,3.3,3.09
1100,-2.34,3.35,3.3
1110,-1.23,3.53,3.69
1120,0.36,3.77,4.32
1130,2.43,4.13,5.02
1140,4.39,4.42,5.55
1150,5.42,4.65,5.76
1160,4.65,4.95,5.77
1170,3.13,5.12,5.55
1180,1.93,5.27,5.39
1190,1.38,5.36,5.44
1200,1.22,5.39,5.47
1210,1.32,5.42,5.25
1220,1.77,5.54,5.08
1230,2.1,5.73,5.23
1240,1.96,5.93,5.43
1250,1.45,6.09,5.49
1260,1.12,6.28,5.5
1270,1.41,6.21,5.55
1280,2.13,6.36,5.82
1290,2.66,6.6,6.26
