timestamp,x,y,z
0,-0.14,8.63,7.27
10,-0.5,8.65,7.15
20,-0.68,8.63,7.08
30,-0.65,8.66,6.92
40,-0.47,8.67,6.67
50,-0.4,8.71,6.46
60,-0.18,8.71,6.29
70,0.01,8.69,6.11
80,0.21,8.66,5.98
90,0.32,8.58,5.99
100,0.19,8.46,6.02
110,-0.12,8.34,6.0
120,-0.58,8.15,5.84
130,-1.06,8.04,5.63
140,-1.4,7.9,5.57
150,-1.44,7.72,5.26
160,-1.73,7.64,5.07
170,-2.07,7.47,4.95
180,-2.35,7.32,4.96
190,-2.48,7.16,4.89
200,-2.44,7.02,4.76
210,-2.29,6.89,4.54
220,-2.17,6.76,4.41
230,-2.09,6.63,4.22
240,-1.98,6.53,4.07
250,-1.91,6.33,4.07
260,-1.81,6.14,4.15
270,-1.74,5.92,4.33
280,-1.76,5.83,4.65
290,-1.86,5.64,4.87
300,-1.58,5.51,5.53
310,-1.22,5.31,6.48
320,-1.09,5.04,7.21
330,-1.15,4.75,7.34
340,-1.32,4.52,7.22
350,-1.62,4.31,7.07
360,-1.96,4.06,6.92
370,-2.21,3.94,6.51
380,-2.21,3.88,5.73
390,-2.02,3.86,5.31
400,-1.49,3.92,5.2
410,-0.64,4.01,5.26
420,0.28,4.14,5.48
430,0.85,4.19,5.68
440,0.8,4.24,5.55
450,0.44,4.17,5.15
460,0.09,4.11,4.9
470,0.11,4.19,4.91
480,1.45,4.09,4.7
490,2.6,4.14,4.73
500,2.78,4.33,5.2
510,1.89,4.44,5.72
520,0.18,4.69,6.03
530,-1.16,5.18,6.3
540,-1.66,5.7,6.88
550,-0.87,6.08,7.97
560,1.07,6.53,9.14
570,3.14,6.88,9.64
580,4.55,7.27,9.38
590,4.84,7.45,9.31
600,4.13,7.65,9.13
610,2.83,7.9,8.49
620,2.22,8.14,7.87
630,3.05,8.39,8.07
640,4.89,8.54,9.26
650,5.98,8.42,10.02
660,5.51,8.51,10.05
670,3.4,8.58,9.57
680,1.27,8.82,9.45
690,0.54,9.46,9.79
700,1.41,10.03,10.41
710,2.44,10.73,10.46
720,2.89,11.43,10.18
730,3.48,11.98,10.3
740,4.92,12.42,10.44
750,6.26,12.66,10.6
760,6.56,12.66,10.68
770,6.06,12.44,10.52
780,5.2,12.02,10.26
790,4.05,11.48,10.38
800,2.81,10.93,10.84
810,1.53,10.54,11.43
820,0.36,10.14,11.81
830,-0.8,9.98,12.11
840,-1.53,9.67,12.01
850,-1.77,9.46,11.93
860,-1.99,9.31,12.06
870,-2.09,9.25,12.23
880,-1.84,9.1,12.29
890,-1.83,8.76,11.91
900,-1.98,8.41,11.14
910,-2.35,8.16,10.31
920,-2.87,8.05,9.78
930,-3.34,7.91,9.64
940,-3.65,7.75,9.64
950,-3.83,7.41,9.68
960,-3.96,7.09,9.33
970,-3.88,6.9,8.87
980,-3.68,6.72,8.59
990,-3.58,6.49,8.4
1000,-3.57,6.21,8.24
1010,-3.51,5.81,8.22
1020,-3.46,5.5,8.03
1030,-3.43,5.32,7.75
1040,-3.56,5.18,7.54
1050,-4.1,4.95,7.33
1060,-4.66,4.68,7.29
1070,-4.92,4.37,7.23
1080,-4.65,4.11,7.13
1090,-4.41,4.04,6.93
1100,-4.41,4.07,6.83
1110,-4.24,4.11,6.91
1120,-3.58,4.04,7.17
1130,-2.89,3.96,7.52
1140,-2.47,4.0,7.65
1150,-1.98,4.11,7.46
1160,-1.46,4.24,7.33
1170,-1.34,4.31,7.54
1180,-1.75,4.28,7.73
1190,-1.98,4.13,7.23
1200,-1.79,4.0,6.25
1210,-1.21,3.9,5.78
1220,-0.45,3.88,5.72
1230,-0.1,3.88,5.56
1240,-0.33,3.94,5.34
1250,-0.8,4.1,5.39
1260,-1.2,4.29,5.75
1270,-1.21,4.45,6.13
1280,-0.75,4.58,6.23
1290,-0.1,4.66,5.95
1300,0.59,4.86,5.89
1310,1.4,5.02,5.82
1320,2.2,5.1,5.71
1330,2.58,5.2,5.41
1340,2.53,5.32,5.37
1350,2.4,5.36,5.24
1360,2.09,5.48,5.02
1370,1.92,5.49,4.95
1380,2.09,5.56,4.8
1390,2.19,5.62,4.78
1400,2.13,5.69,4.84
1410,2.05,5.81,4.96
1420,2.1,5.97,5.15
1430,2.09,6.03,5.36
1440,2.06,6.08,5.37
1450,1.95,6.28,5.34
1460,1.75,6.41,5.54
1470,1.46,7.01,6.05
1480,1.29,7.25,6.5
1490,0.94,7.61,6.61
1500,0.69,7.79,6.59
1510,0.53,7.98,6.61
1520,0.53,8.21,6.66
1530,0.81,8.54,6.72
1540,1.24,8.79,6.94
1550,1.55,9.02,7.15
1560,1.77,9.24,7.35
1570,2.14,9.35,7.64
1580,2.3,9.41,7.97
1590,2.04,9.36,8.11
1600,1.47,9.5,8.03
1610,0.73,9.45,8.08
1620,0.12,9.56,8.27
1630,0.08,9.56,8.5
1640,0.46,9.69,8.58
1650,0.99,9.68,8.54
1660,1.33,9.65,8.64
1670,1.35,9.55,8.68
1680,0.94,9.45,8.55
1690,0.41,9.33,8.47
1700,0.0,9.31,8.57
1710,-0.13,9.12,8.73
1720,-0.26,8.96,8.5
1730,-0.31,8.85,8.26
1740,-0.25,8.74,8.3
1750,-0.07,8.6,8.47
1760,0.23,8.46,8.52
1770,0.31,8.35,8.5
1780,0.11,8.19,8.5
1790,-0.06,8.03,8.44
1800,-0.01,7.88,8.37
1810,-0.0,7.71,8.33
1820,-0.2,7.59,8.12
1830,-0.49,7.44,7.7
1840,-0.59,7.32,7.22
1850,-0.63,7.25,6.96
1860,-0.67,7.22,6.81
1870,-0.51,7.2,6.69
1880,-0.19,7.18,6.66
1890,-0.08,7.18,6.66
1900,-0.26,7.18,6.62
1910,-0.45,7.17,6.53
1920,-0.65,7.15,6.33
1930,-0.72,7.11,6.09
1940,-0.59,7.12,5.89
1950,-0.32,7.14,5.8
1960,-0.06,7.16,5.9
1970,0.04,7.19,5.97
1980,-0.08,7.24,5.93
1990,-0.22,7.27,5.97
2000,-0.29,7.28,6.11
