timestamp,x,y,z
0,0.32,7.38,7.65
10,0.24,7.66,7.37
20,0.09,7.76,7.35
30,0.1,7.79,7.3
40,0.26,7.92,7.26
50,0.25,7.95,7.14
60,-0.06,7.96,6.92
70,-0.27,7.98,6.74
80,-0.58,8.06,6.62
90,-0.8,8.13,6.68
100,-0.94,8.11,6.72
110,-1.22,7.96,6.56
120,-1.64,7.85,6.31
130,-2.01,7.68,5.98
140,-2.26,7.47,5.76
150,-2.44,7.35,5.75
160,-2.58,7.3,5.87
170,-2.4,7.18,5.86
180,-2.13,7.01,5.73
190,-1.96,6.85,5.6
200,-1.65,6.71,5.63
210,-1.49,6.63,5.77
220,-1.52,6.59,5.88
230,-1.56,6.53,5.84
240,-1.64,6.45,5.64
250,-1.65,6.32,5.44
260,-1.7,6.13,5.27
270,-1.71,6.0,5.18
280,-1.75,5.89,5.29
290,-1.56,5.74,5.48
300,-1.11,5.66,5.75
310,-0.67,5.61,6.06
320,0.01,5.65,6.47
330,0.74,5.67,6.86
340,1.14,5.59,6.8
350,1.32,5.5,6.57
360,1.04,5.44,6.49
370,0.53,5.41,6.45
380,-0.04,5.25,6.27
390,-0.57,5.09,6.11
400,-0.79,5.01,5.86
410,-0.62,4.89,5.71
420,0.06,4.73,5.82
430,0.8,4.79,6.38
440,1.49,4.87,7.2
450,2.01,4.86,7.73
460,2.26,4.94,7.66
470,1.93,4.81,7.33
480,1.52,4.77,6.91
490,1.51,4.88,6.7
500,1.96,4.96,7.0
510,2.72,5.02,7.55
520,3.5,5.09,8.14
530,4.09,5.16,8.65
540,4.45,5.18,8.91
550,4.48,5.2,9.03
560,4.05,5.12,9.12
570,3.58,5.06,9.15
580,3.2,5.06,9.24
590,3.01,4.98,9.33
600,3.0,4.96,9.47
610,3.25,5.01,9.66
620,3.78,5.03,9.83
630,4.19,5.13,10.11
640,4.23,5.23,10.45
650,4.26,5.33,10.54
660,4.34,5.39,10.65
670,4.22,5.54,11.06
680,4.05,5.61,11.45
690,3.93,5.63,11.54
700,4.0,5.62,11.63
710,4.4,5.67,11.77
720,4.9,5.88,11.98
730,5.09,6.14,12.36
740,5.02,6.29,12.6
750,4.8,6.37,12.58
760,4.63,6.43,12.38
770,4.48,6.53,12.4
780,4.1,6.69,12.73
790,3.73,6.89,13.02
800,3.27,7.05,13.35
810,2.73,7.13,13.63
820,2.21,7.26,13.85
830,1.83,7.39,14.03
840,1.46,7.5,14.09
850,1.01,7.46,13.89
860,0.75,7.28,13.41
870,0.55,7.15,12.62
880,0.36,7.01,11.85
890,0.28,6.82,11.29
900,0.09,6.63,11.02
910,-0.18,6.44,10.85
920,-0.35,6.26,10.67
930,-0.45,6.19,10.67
940,-0.51,6.06,10.6
950,-0.59,5.93,10.15
960,-0.9,5.81,9.4
970,-1.37,5.75,8.58
980,-1.68,5.87,7.82
990,-1.77,5.86,7.24
1000,-1.94,5.84,7.08
1010,-2.22,5.77,7.31
1020,-2.36,5.64,7.72
1030,-2.43,5.59,8.12
1040,-2.55,5.49,8.13
1050,-2.87,5.32,7.9
1060,-3.14,5.16,7.43
1070,-3.19,4.94,6.88
1080,-3.07,4.82,6.31
1090,-3.11,4.73,6.04
1100,-3.38,4.68,6.3
1110,-3.55,4.66,6.61
1120,-3.51,4.55,6.72
1130,-3.26,4.44,6.64
1140,-3.09,4.37,6.55
1150,-2.8,4.29,6.39
1160,-2.67,4.14,6.2
1170,-2.72,4.0,6.03
1180,-2.9,3.87,5.87
1190,-2.91,3.76,5.61
1200,-2.64,3.72,5.31
1210,-2.15,3.69,5.13
1220,-1.62,3.72,5.38
1230,-0.76,3.95,6.21
1240,0.32,4.19,7.07
1250,1.35,4.36,7.87
1260,2.27,4.47,8.62
1270,2.88,4.56,8.82
1280,3.01,4.59,8.73
1290,2.73,4.62,8.4
1300,2.5,4.59,7.97
1310,2.77,4.59,7.3
1320,3.12,4.75,7.1
1330,3.2,4.87,7.5
1340,3.47,5.11,7.93
1350,3.99,5.3,8.29
1360,4.23,5.44,8.29
1370,4.61,5.48,7.99
1380,4.65,5.97,7.9
1390,5.2,5.81,7.81
1400,5.77,5.66,8.01
1410,5.27,5.65,8.37
1420,4.64,5.87,8.81
1430,4.32,6.0,8.87
1440,4.02,6.07,9.1
1450,3.84,6.11,8.95
1460,3.52,6.0,8.63
1470,3.18,6.08,7.93
1480,3.57,6.07,6.9
1490,3.85,5.88,7.19
1500,3.77,5.79,7.73
1510,3.73,5.91,8.15
1520,3.37,6.05,8.5
1530,3.2,6.11,8.76
1540,3.21,6.16,9.0
1550,3.34,6.19,9.03
1560,3.33,6.16,8.95
1570,3.3,6.14,8.83
1580,3.25,6.16,8.87
1590,3.19,6.22,9.02
1600,3.33,6.26,9.17
1610,3.58,6.3,9.24
1620,3.58,6.29,9.25
1630,3.45,6.25,9.14
1640,3.1,6.21,8.93
1650,2.77,6.16,8.77
1660,2.65,6.11,8.6
1670,2.57,6.07,8.54
1680,2.59,6.04,8.45
1690,2.62,6.0,8.38
1700,2.54,5.98,8.22
1710,2.34,5.92,8.1
1720,2.11,5.92,8.06
1730,1.92,5.87,7.97
1740,1.85,5.89,7.96
1750,2.04,5.89,7.88
1760,2.2,5.89,7.86
1770,2.2,5.89,7.96
1780,2.15,5.9,8.04
1790,2.09,5.9,8.03
1800,2.0,5.9,8.05
1810,1.96,5.92,8.15
1820,1.94,5.94,8.18
1830,2.08,5.96,8.18
1840,2.32,6.0,8.17
1850,2.32,6.05,8.32
1860,2.26,6.07,8.38
1870,2.29,6.05,8.34
1880,2.36,6.05,8.37
1890,2.34,6.07,8.42
1900,2.42,6.06,8.37
1910,2.42,6.08,8.38
1920,2.38,6.11,8.41
1930,2.32,6.12,8.34
1940,2.43,6.11,8.38
1950,2.5,6.13,8.46
1960,2.52,6.15,8.5
1970,2.48,6.13,8.43
1980,2.45,6.13,8.39
1990,2.53,6.12,8.4
2000,2.52,6.14,8.44
