timestamp,x,y,z
0,-0.13,6.85,7.85
10,-0.06,6.86,7.75
20,-0.08,6.84,7.64
30,-0.08,6.85,7.64
40,-0.04,6.85,7.7
50,-0.03,6.82,7.72
60,-0.06,6.87,7.72
70,-0.05,6.85,7.65
80,-0.15,6.84,7.61
90,-0.27,6.84,7.55
100,-0.33,6.8,7.44
110,-0.38,6.79,7.34
120,-0.33,6.76,7.43
130,-0.23,6.76,7.48
140,-0.17,6.74,7.54
150,-0.18,6.71,7.59
160,-0.28,6.72,7.64
170,-0.39,6.77,7.69
180,-0.45,6.77,7.79
190,-0.35,6.82,7.76
200,-0.23,6.86,7.79
210,-0.22,6.88,7.85
220,-0.3,6.87,7.98
230,-0.39,6.86,8.02
240,-0.34,6.84,7.99
250,-0.18,6.8,7.93
260,0.0,6.84,7.93
270,0.07,6.9,7.98
280,0.07,6.95,7.98
290,0.07,6.95,7.96
300,0.12,7.01,7.83
310,0.31,7.02,7.75
320,0.5,7.12,7.8
330,0.67,7.18,7.82
340,0.54,7.3,7.93
350,0.06,7.24,7.89
360,-0.38,7.59,7.85
370,-0.57,7.69,7.87
380,-0.51,8.15,8.06
390,0.08,8.85,8.64
400,1.21,9.77,9.41
410,2.78,10.67,10.34
420,4.13,10.96,10.83
430,4.73,11.0,10.98
440,4.27,10.71,10.75
450,3.06,10.16,10.2
460,1.48,9.52,9.71
470,0.18,8.93,9.5
480,-1.02,8.45,9.22
490,-2.08,8.04,8.86
500,-2.65,7.74,8.5
510,-2.74,7.43,8.15
520,-2.74,7.23,7.74
530,-2.79,7.07,7.4
540,-2.68,6.92,7.07
550,-2.49,6.83,6.72
560,-2.3,6.71,6.36
570,-2.14,6.58,5.98
580,-2.06,6.45,5.58
590,-1.94,6.29,5.17
600,-1.86,6.17,4.81
610,-1.97,6.04,4.49
620,-2.18,5.87,4.15
630,-2.35,5.71,3.82
640,-2.43,5.5,3.72
650,-2.49,5.32,3.68
660,-2.51,5.18,3.6
670,-2.6,5.11,3.63
680,-2.78,5.08,3.96
690,-2.82,5.0,4.23
700,-2.46,4.89,4.31
710,-1.67,4.96,4.42
720,-0.84,4.9,4.69
730,-0.26,4.93,5.15
740,0.2,4.96,5.54
750,0.3,4.96,5.82
760,-0.09,4.91,5.93
770,-0.69,4.89,5.83
780,-1.05,4.9,5.69
790,-1.2,4.94,5.62
800,-1.13,5.07,5.63
810,-0.77,5.2,5.66
820,-0.42,5.31,5.61
830,-0.2,5.35,5.6
840,-0.01,5.45,5.56
850,0.05,5.54,5.61
860,-0.22,5.62,5.57
870,-0.67,5.66,5.46
880,-0.91,5.67,5.43
890,-0.71,5.76,5.73
900,-0.14,5.89,6.32
910,0.5,6.07,6.74
920,0.93,6.14,6.86
930,0.76,6.2,6.85
