timestamp,x,y,z
0,2.1,6.74,7.73
10,2.1,6.75,7.87
20,2.07,6.76,7.9
30,1.98,6.77,7.86
40,1.95,6.77,7.87
50,1.92,6.79,7.81
60,1.85,6.99,7.84
70,1.81,6.86,7.6
80,1.76,6.9,7.49
90,1.75,6.93,7.56
100,1.67,6.92,7.58
110,1.7,6.92,7.54
120,1.73,6.87,7.41
130,1.66,6.84,7.27
140,1.59,6.81,7.25
150,1.59,6.77,7.22
160,1.66,6.69,7.17
170,1.8,6.59,7.19
180,1.94,6.51,7.23
190,2.19,6.41,7.24
200,2.53,6.25,7.22
210,2.95,6.1,7.16
220,3.52,5.9,7.11
230,3.98,5.69,7.14
240,4.22,5.49,7.22
250,4.47,5.3,7.34
260,4.72,5.11,7.48
270,5.01,4.94,7.59
280,5.17,4.86,7.47
290,5.21,4.81,7.35
300,5.17,4.86,7.41
310,5.23,4.85,7.62
320,5.34,5.02,7.92
330,5.53,5.14,8.32
340,5.59,5.31,8.79
350,5.36,5.44,9.26
360,4.84,5.66,9.71
370,4.48,5.85,9.97
380,3.98,6.03,10.2
390,3.3,6.19,10.52
400,2.43,6.38,10.81
410,1.49,6.51,10.98
420,0.58,6.7,11.04
430,-0.17,6.83,10.96
440,-0.88,6.84,10.81
450,-1.47,6.88,10.62
460,-2.17,6.93,10.37
470,-2.82,6.92,10.04
480,-3.43,6.85,9.58
490,-3.92,6.79,9.08
500,-4.3,6.72,8.64
510,-4.51,6.61,8.34
520,-4.75,6.54,8.08
530,-4.73,6.4,7.71
540,-4.34,6.19,7.31
550,-3.8,6.03,6.91
560,-3.32,5.91,6.53
570,-2.95,5.79,6.25
580,-2.78,5.61,6.13
590,-2.92,5.62,6.06
600,-2.85,5.48,5.93
610,-2.89,5.37,5.83
620,-2.99,5.28,5.71
630,-3.07,5.19,5.76
640,-3.0,5.16,6.02
650,-2.89,5.18,6.45
660,-2.44,5.15,6.74
670,-1.69,5.13,6.8
680,-0.76,5.03,6.85
690,-0.16,4.99,6.92
700,-0.19,5.03,7.25
710,-0.64,4.96,7.71
720,-1.24,4.87,8.0
730,-1.85,5.21,9.03
740,-1.63,5.52,10.56
750,-0.24,5.16,10.96
760,0.91,5.48,10.74
770,2.0,5.74,10.5
780,1.99,5.67,10.8
790,2.25,5.4,11.18
800,2.44,5.03,12.46
810,1.82,5.03,14.4
820,2.71,4.58,14.86
830,3.85,4.29,14.4
840,5.4,4.24,13.68
850,7.06,4.35,12.96
860,8.39,4.54,12.3
870,8.9,4.61,11.58
880,8.2,4.48,10.56
890,7.12,4.21,9.33
900,6.3,3.99,8.13
910,5.82,3.77,7.1
920,5.66,3.6,6.39
930,5.84,3.52,6.12
940,6.16,3.51,6.19
950,6.48,3.52,6.29
960,6.63,3.43,6.42
970,6.75,3.29,6.47
980,7.0,3.15,6.37
990,7.15,3.1,6.3
1000,7.2,3.07,6.24
1010,7.12,3.06,6.22
1020,6.9,3.06,6.19
1030,6.42,3.05,6.32
1040,5.7,2.96,6.51
1050,5.05,2.88,6.82
1060,4.61,2.82,7.3
1070,4.21,2.86,7.91
1080,3.88,2.94,8.54
1090,3.85,2.95,8.88
1100,3.93,2.94,8.79
1110,4.03,2.85,8.51
1120,3.9,2.55,8.01
1130,3.56,2.31,7.43
1140,3.26,2.4,6.99
1150,3.22,2.43,6.7
1160,3.29,2.33,6.48
1170,3.33,2.2,6.55
1180,3.72,1.81,6.96
1190,3.95,1.58,7.81
1200,4.17,1.47,8.58
1210,4.64,1.3,9.16
1220,4.96,1.03,9.37
1230,5.0,0.84,9.62
1240,4.87,0.7,9.86
1250,4.79,0.57,10.27
1260,4.85,0.51,10.85
1270,4.97,0.6,11.44
1280,5.29,0.71,11.88
1290,5.5,0.84,12.15
1300,4.94,0.99,12.55
1310,4.15,0.96,12.77
1320,3.48,1.01,12.84
1330,3.08,1.18,12.82
1340,2.85,1.41,12.81
1350,2.52,1.7,12.79
1360,2.04,1.97,12.76
1370,1.52,2.22,12.76
1380,1.15,2.46,12.65
1390,0.72,2.82,12.46
1400,0.46,2.94,12.25
1410,0.4,3.14,11.99
1420,0.47,3.29,11.72
1430,0.54,3.41,11.49
1440,0.57,3.43,11.36
1450,0.49,3.45,11.17
1460,0.49,3.44,11.04
1470,0.59,3.45,10.99
1480,0.83,3.45,11.05
1490,1.09,3.42,11.09
1500,1.23,3.38,11.05
1510,1.24,3.26,10.89
1520,1.16,3.13,10.71
1530,1.16,3.0,10.63
1540,1.36,2.89,10.58
1550,1.59,2.78,10.61
1560,1.8,2.7,10.62
1570,2.0,2.62,10.55
1580,2.08,2.49,10.47
1590,2.04,2.34,10.35
1600,2.07,2.19,10.23
1610,2.18,2.08,10.09
1620,2.34,1.97,9.97
1630,2.51,1.87,9.91
1640,2.61,1.78,9.93
1650,2.73,1.72,9.92
1660,2.82,1.67,9.91
1670,2.94,1.63,9.96
1680,3.03,1.57,9.98
1690,3.11,1.51,9.97
1700,3.24,1.47,9.91
1710,3.28,1.45,9.86
1720,3.33,1.42,9.88
1730,3.36,1.44,9.93
1740,3.38,1.43,9.94
1750,3.34,1.44,9.95
1760,3.28,1.48,10.04
1770,3.22,1.51,10.09
1780,3.12,1.53,10.16
1790,3.12,1.57,10.17
1800,3.13,1.57,10.11
1810,3.07,1.54,10.07
1820,3.08,1.58,10.09
1830,3.1,1.62,10.13
1840,3.09,1.61,10.11
1850,2.96,1.66,10.14
1860,2.88,1.71,10.18
1870,2.87,1.75,10.22
1880,2.85,1.77,10.19
1890,2.87,1.78,10.2
1900,2.88,1.76,10.08
1910,2.89,1.77,10.07
1920,2.93,1.79,10.08
1930,2.97,1.8,10.11
1940,2.91,1.8,10.13
1950,2.89,1.82,10.12
1960,2.86,1.82,10.09
1970,2.8,1.82,10.04
1980,2.74,1.81,9.97
1990,2.67,1.81,9.98
2000,2.67,1.82,10.06
