timestamp,x,y,z
0,-0.61,3.94,9.33
10,-0.63,3.87,9.21
20,-0.54,3.74,9.09
30,-0.31,3.58,8.96
40,0.07,3.37,8.88
50,0.81,3.15,8.89
60,1.8,2.95,9.0
70,2.73,2.8,9.11
80,3.43,2.68,9.29
90,4.4,2.39,9.42
100,5.01,2.41,9.31
110,5.44,2.32,9.18
120,5.53,2.2,9.23
130,5.57,2.19,9.28
140,5.67,2.15,9.47
150,5.94,2.1,9.6
160,6.18,2.09,9.74
170,6.22,2.13,9.9
180,6.4,2.2,9.96
190,6.64,2.24,9.92
200,6.7,2.24,10.12
210,6.33,2.25,10.41
220,5.94,2.29,10.69
230,5.55,2.32,10.93
240,4.9,2.37,11.15
250,4.29,2.39,11.22
260,3.79,2.43,11.16
270,3.27,2.52,11.23
280,2.74,2.57,11.52
290,1.99,2.68,11.73
300,1.01,2.72,11.82
310,-0.13,2.86,11.8
320,-0.9,3.01,11.71
330,-0.25,5.04,9.55
340,-0.11,2.88,10.53
350,-3.24,3.28,9.86
360,-3.78,3.22,9.7
370,-4.15,3.24,9.84
380,-4.98,3.31,9.76
390,-4.84,3.34,9.76
400,-5.63,3.35,9.58
410,-5.91,3.51,9.75
420,-6.24,3.69,9.57
430,-5.94,3.7,9.53
440,-4.63,3.74,9.49
450,-3.42,3.66,9.56
460,-2.68,3.68,9.54
470,-1.9,3.95,8.57
480,-1.25,4.09,8.08
490,-0.62,4.02,8.27
500,-0.26,4.04,8.42
510,-0.17,4.03,8.69
520,-0.13,4.0,9.14
530,-0.22,3.96,9.42
540,-0.32,3.91,9.43
550,-0.25,3.83,9.23
560,-0.01,3.73,8.9
570,0.14,3.63,8.65
580,-0.1,3.54,8.76
590,-0.56,3.47,9.16
600,-0.93,3.44,9.49
610,-1.46,3.29,9.44
620,-2.04,3.25,9.15
630,-2.26,3.17,8.73
640,-2.53,2.98,8.24
650,-3.16,2.77,7.98
660,-3.68,2.64,7.99
670,-4.14,2.55,8.13
680,-4.36,2.33,7.97
690,-4.16,2.06,8.07
700,-4.1,1.73,8.73
710,-4.37,1.62,10.21
720,-3.98,1.23,11.03
730,-3.77,0.73,11.33
740,-3.04,0.29,11.37
750,-1.88,-0.01,11.48
760,-0.34,-0.17,11.59
770,1.51,-0.3,11.87
780,2.9,-0.55,12.39
790,3.14,-0.35,13.15
800,2.7,-0.15,14.02
810,2.7,-0.1,14.39
820,3.35,-0.11,14.03
830,4.21,-0.19,13.55
840,4.42,-0.4,13.23
850,4.45,-0.47,13.39
860,5.07,-0.54,13.07
870,4.95,-0.53,13.41
880,5.06,-0.41,13.31
890,5.46,-0.49,12.75
900,5.61,-0.42,12.56
910,5.22,-0.38,12.33
920,4.84,-0.29,12.04
930,4.77,-0.23,11.55
940,4.51,-0.2,10.78
950,4.22,-0.22,10.13
960,3.86,-0.12,9.71
970,3.79,-0.02,9.41
980,3.74,-0.14,9.05
990,3.61,0.1,8.93
1000,3.57,0.17,8.79
1010,3.28,0.2,8.42
1020,2.75,0.11,8.05
1030,1.86,0.15,8.1
1040,1.21,0.23,8.22
1050,0.84,0.23,8.02
1060,0.58,0.16,7.77
1070,0.67,0.15,7.79
1080,0.84,0.03,7.75
1090,0.77,-0.2,7.62
1100,0.47,-0.41,7.63
1110,0.39,-0.44,8.01
1120,1.12,-0.62,8.73
1130,2.04,-0.7,9.35
1140,3.3,-0.85,9.69
1150,3.69,-1.11,9.82
1160,3.58,-1.19,10.45
1170,2.7,-1.04,10.78
1180,2.96,-2.12,11.07
1190,2.83,-1.87,11.71
1200,2.66,-1.74,11.71
1210,2.84,-1.74,11.66
1220,3.18,-1.53,11.9
1230,2.94,-1.46,12.02
1240,1.69,-1.49,11.63
1250,1.1,-1.22,11.62
1260,0.89,-1.1,11.64
1270,0.6,-0.91,11.71
1280,0.38,-0.57,11.75
1290,0.19,-0.42,12.0
1300,0.38,-0.35,12.12
1310,0.48,-0.23,12.28
1320,0.2,-0.14,12.41
1330,-0.36,-0.02,12.66
1340,-0.72,0.14,12.84
1350,-0.55,0.23,12.98
1360,0.28,0.23,12.93
1370,1.03,0.29,12.9
1380,1.15,0.28,12.88
1390,0.82,0.26,12.63
1400,0.6,0.22,12.16
1410,0.49,0.11,11.61
1420,0.47,-0.02,11.21
1430,0.68,-0.07,10.95
1440,0.82,-0.12,11.01
1450,0.85,-0.2,11.1
1460,1.08,-0.29,11.06
1470,1.13,-0.31,11.01
1480,0.91,-0.35,10.99
1490,0.92,-0.45,10.84
1500,1.18,-0.6,10.44
1510,1.36,-0.69,10.09
1520,1.1,-0.8,10.01
1530,0.6,-0.77,10.08
1540,0.23,-0.68,10.11
1550,0.13,-0.66,10.11
1560,0.2,-0.68,10.14
1570,0.46,-0.73,10.08
1580,1.2,-0.79,10.13
1590,1.7,-0.77,10.43
1600,1.75,-0.77,10.62
1610,1.52,-0.79,10.64
1620,1.07,-0.74,10.57
1630,0.72,-0.7,10.33
1640,0.51,-0.67,10.01
1650,0.51,-0.68,9.82
1660,0.74,-0.7,9.81
1670,1.28,-0.7,9.97
1680,1.64,-0.68,10.29
1690,1.79,-0.68,10.6
1700,1.88,-0.72,10.78
1710,1.85,-0.72,10.81
1720,1.79,-0.72,10.77
1730,1.79,-0.75,10.58
1740,1.77,-0.79,10.49
