timestamp,x,y,z
0,0.27,7.12,7.66
10,0.16,7.11,7.73
20,0.09,7.12,7.75
30,0.11,7.11,7.82
40,0.17,7.09,7.84
50,0.25,7.1,7.84
60,0.2,7.06,7.74
70,0.17,7.06,7.63
80,0.26,7.08,7.56
90,0.37,7.1,7.47
100,0.46,7.11,7.44
110,0.53,7.07,7.4
120,0.59,7.0,7.35
130,0.53,6.91,7.25
140,0.41,6.87,7.19
150,0.3,6.81,7.13
160,0.26,6.76,7.13
170,0.38,6.69,7.24
180,0.66,6.63,7.38
190,1.01,6.54,7.41
200,1.32,6.45,7.33
210,1.59,6.31,7.22
220,1.79,6.19,7.25
230,2.2,6.1,7.24
240,2.69,6.0,7.32
250,3.01,5.93,7.52
260,3.31,5.82,7.69
270,3.68,5.67,7.77
280,4.07,5.51,7.89
290,4.55,5.62,8.14
300,5.02,5.65,8.55
310,5.15,5.67,8.95
320,5.07,5.73,9.28
330,4.69,5.78,9.57
340,4.45,5.88,9.71
350,4.38,6.0,9.83
360,4.1,6.14,9.87
370,3.46,6.28,10.02
380,2.66,6.42,10.29
390,1.7,6.51,10.54
400,0.7,6.65,10.67
410,-0.35,6.66,10.55
420,-1.27,6.7,10.42
430,-2.26,6.68,10.22
440,-3.1,6.69,10.01
450,-3.68,6.67,9.77
460,-4.05,6.62,9.42
470,-4.42,6.51,9.0
480,-4.8,6.39,8.54
490,-5.22,6.26,8.09
500,-5.65,6.15,7.63
510,-5.77,6.03,7.14
520,-5.38,5.94,6.64
530,-4.84,5.84,6.21
540,-4.26,5.73,5.9
550,-3.76,5.66,5.82
560,-3.48,5.58,5.81
570,-3.41,5.45,5.75
580,-3.57,5.31,5.75
590,-3.68,5.2,5.78
600,-3.69,5.06,5.85
610,-3.42,4.95,5.93
620,-3.1,4.93,6.19
630,-2.83,4.91,6.61
640,-2.68,4.95,7.02
650,-2.64,4.92,7.39
660,-2.67,4.92,7.64
670,-2.8,4.85,7.76
680,-3.02,4.85,7.79
690,-3.3,4.84,7.92
700,-3.58,4.88,8.21
710,-3.76,4.89,8.29
720,-3.57,4.86,8.21
730,-3.28,4.64,7.87
740,-3.2,4.66,7.58
750,-2.93,4.72,7.53
760,-2.32,4.67,7.8
770,-1.4,4.6,8.12
