timestamp,x,y,z
0,3.04,5.32,8.55
10,3.0,5.29,8.62
20,2.87,5.28,8.59
30,2.92,5.32,8.77
40,2.97,5.34,8.98
50,2.88,5.28,9.07
60,2.72,5.38,9.01
70,2.46,5.4,8.81
80,2.28,5.42,8.58
90,2.13,5.43,8.43
100,2.14,5.44,8.44
110,2.03,5.54,8.47
120,2.11,5.57,8.53
130,2.36,5.62,8.54
140,2.58,5.45,8.51
150,2.68,5.48,8.55
160,2.77,5.4,8.58
170,2.8,5.47,8.64
180,2.8,5.23,8.54
190,2.81,5.25,8.46
200,2.91,5.26,8.5
210,3.09,5.14,8.59
220,3.37,5.11,8.59
230,3.9,5.0,8.61
240,4.46,4.86,8.52
250,5.03,4.77,8.5
260,5.35,4.76,8.54
270,5.72,4.7,8.44
280,6.17,4.62,8.27
290,6.27,4.47,8.12
300,6.45,4.43,8.01
310,6.82,4.46,7.97
320,7.72,4.22,8.29
330,8.54,4.03,9.14
340,9.13,3.78,9.79
350,9.25,3.93,10.26
360,8.44,3.94,10.65
370,7.48,3.79,10.89
380,6.45,3.72,10.98
390,4.99,3.97,11.1
400,3.31,4.28,11.19
410,1.83,4.66,11.37
420,0.71,4.59,11.25
430,-0.22,4.61,10.75
440,-0.91,4.64,10.12
450,-1.3,4.63,9.67
460,-1.87,4.91,9.24
470,-2.16,5.06,9.1
480,-2.42,5.2,9.09
490,-2.6,5.28,8.93
500,-2.45,5.27,8.53
510,-2.05,5.23,8.27
520,-1.46,5.17,8.17
530,-1.01,5.05,8.26
540,-0.75,4.98,8.41
550,-0.57,4.94,8.43
560,-0.43,4.86,8.21
570,-0.37,4.71,7.78
580,-0.32,4.63,7.55
590,-0.33,4.56,7.4
600,-0.32,4.42,7.09
610,-0.44,4.36,6.72
620,-0.61,4.32,6.45
630,-0.78,4.26,6.22
640,-0.82,4.19,6.02
650,-0.78,4.13,5.89
660,-0.53,4.09,5.99
670,-0.26,3.99,6.11
680,-0.07,4.03,6.19
690,0.03,4.02,6.23
700,0.0,3.97,6.5
710,-0.11,3.9,6.77
720,-0.43,3.94,7.34
730,-0.62,3.67,7.7
740,-0.77,3.21,8.04
750,-0.77,3.11,8.95
760,-0.35,3.17,10.17
770,0.41,3.22,11.41
780,1.41,3.44,12.33
790,1.67,3.5,12.71
800,1.0,3.57,12.67
810,0.09,3.66,12.37
820,-0.7,3.52,11.97
830,-1.1,3.42,11.74
840,-1.02,3.27,11.84
850,0.04,3.1,12.29
860,1.7,2.94,12.98
870,3.52,2.8,13.75
880,5.97,2.69,14.21
890,8.5,2.56,14.13
900,10.2,2.59,13.8
910,10.88,2.74,13.06
920,10.97,2.84,12.15
930,10.69,2.8,11.2
940,10.01,2.73,10.42
950,9.69,2.56,9.81
960,9.83,2.43,9.56
970,10.19,2.37,9.55
980,10.42,2.37,9.62
990,10.44,2.34,9.49
1000,10.27,2.32,9.09
1010,9.67,2.34,8.54
1020,8.72,2.36,7.92
1030,7.56,2.33,7.34
1040,6.46,2.35,6.79
1050,5.46,2.4,6.33
1060,4.56,2.4,5.87
1070,3.81,2.46,5.62
1080,3.33,2.4,5.63
1090,3.31,2.31,5.69
1100,3.12,2.34,5.83
1110,3.08,2.22,6.1
1120,3.35,2.18,6.55
1130,3.48,2.09,6.92
1140,3.51,1.99,7.1
1150,3.59,1.91,7.12
1160,3.54,1.8,7.19
1170,3.72,1.77,7.39
1180,4.16,1.8,7.6
1190,4.47,1.81,8.01
1200,4.84,1.77,8.44
1210,5.26,1.7,8.9
1220,5.72,1.64,9.43
1230,6.38,1.62,10.1
1240,7.25,1.61,10.69
1250,8.29,1.46,11.14
1260,9.27,1.4,11.35
1270,9.75,1.28,11.16
1280,9.32,1.34,10.86
1290,8.12,1.54,10.63
1300,6.84,1.76,10.42
1310,5.69,1.98,10.21
1320,4.78,2.16,9.96
1330,4.1,2.37,9.78
1340,3.56,2.63,9.79
1350,3.12,2.9,9.94
1360,2.64,3.11,10.21
1370,2.09,3.27,10.49
1380,1.42,3.45,10.84
1390,0.77,3.65,11.34
1400,0.1,3.9,11.87
1410,-0.38,4.2,12.23
1420,-0.79,4.41,12.26
1430,-1.18,4.56,11.99
1440,-1.58,4.7,11.63
1450,-1.9,4.89,11.25
1460,-2.02,4.97,10.91
1470,-1.88,5.02,10.63
1480,-1.4,5.06,10.43
1490,-0.82,5.07,10.26
1500,-0.31,5.11,10.18
1510,-0.06,5.09,10.05
1520,0.04,5.03,9.89
1530,0.07,4.98,9.76
1540,0.36,4.97,9.63
1550,0.52,4.93,9.4
1560,0.57,4.85,9.3
1570,0.57,4.79,9.19
1580,0.6,4.74,8.96
1590,0.65,4.69,8.9
1600,0.7,4.69,8.92
1610,0.99,4.69,8.96
1620,1.3,4.66,8.97
1630,1.5,4.64,8.91
1640,1.56,4.63,8.73
1650,1.55,4.57,8.58
1660,1.52,4.55,8.55
1670,1.61,4.55,8.64
1680,1.75,4.56,8.84
1690,1.89,4.6,9.11
1700,1.97,4.58,9.31
1710,2.01,4.65,9.39
1720,1.95,4.67,9.29
1730,1.89,4.68,9.09
1740,1.85,4.65,8.84
1750,1.85,4.67,8.79
1760,1.93,4.71,8.81
1770,2.03,4.72,8.83
1780,2.06,4.75,8.91
1790,2.09,4.82,9.07
1800,2.13,4.82,9.19
1810,2.12,4.83,9.24
1820,2.18,4.85,9.22
1830,2.3,4.85,9.09
1840,2.33,4.83,9.0
1850,2.22,4.86,8.98
1860,2.1,4.88,8.98
1870,1.98,4.88,8.98
1880,1.88,4.9,9.01
1890,1.86,4.9,9.01
1900,1.85,4.9,9.07
1910,1.84,4.88,9.11
1920,1.9,4.88,9.14
1930,2.01,4.87,9.12
1940,2.08,4.88,9.12
1950,2.07,4.86,9.14
1960,1.98,4.83,9.17
1970,1.85,4.84,9.16
1980,1.72,4.83,9.25
1990,1.76,4.81,9.32
2000,1.77,4.79,9.34
