timestamp,x,y,z
0,0.94,5.49,8.95
10,1.01,5.48,8.94
20,0.95,5.47,8.91
30,0.92,5.49,9.0
40,0.97,5.47,9.0
50,0.99,5.49,8.88
60,0.98,5.49,8.88
70,0.95,5.51,8.86
80,0.9,5.53,8.8
90,0.8,5.53,8.78
100,0.78,5.52,8.74
110,0.78,5.54,8.8
120,0.78,5.54,8.88
130,0.74,5.56,9.04
140,0.65,5.57,9.03
150,0.55,5.54,8.94
160,0.48,5.52,8.84
170,0.52,5.51,8.81
180,0.55,5.51,8.7
190,0.57,5.5,8.64
200,0.63,5.53,8.76
210,0.71,5.54,8.87
220,0.87,5.53,8.99
230,0.97,5.52,8.99
240,0.98,5.54,9.02
250,1.01,5.56,9.02
260,1.03,5.58,8.92
270,0.96,5.55,8.82
280,0.9,5.55,8.81
290,0.83,5.53,8.84
300,0.78,5.52,8.8
310,0.78,5.51,8.84
320,0.79,5.51,8.83
330,0.83,5.51,8.82
340,0.79,5.49,8.84
350,0.77,5.52,8.83
360,0.8,5.53,8.76
370,0.8,5.53,8.68
380,0.79,5.53,8.67
390,0.84,5.5,8.77
400,0.9,5.51,8.92
410,0.84,5.52,8.97
420,0.83,5.56,9.05
430,0.86,5.56,9.08
440,0.87,5.56,9.04
450,0.85,5.56,8.95
460,0.86,5.55,8.84
470,0.94,5.52,8.77
480,0.91,5.51,8.79
490,0.94,5.51,8.81
500,0.96,5.49,8.75
510,0.94,5.48,8.69
520,0.87,5.47,8.65
530,0.81,5.45,8.65
540,0.79,5.41,8.6
550,0.82,5.34,8.55
560,1.08,5.21,8.48
570,1.52,5.1,8.43
580,2.09,4.99,8.49
590,2.53,4.87,8.61
600,2.83,4.8,8.73
610,3.24,4.7,8.77
620,4.0,4.59,8.65
630,4.26,4.57,8.8
640,4.22,4.54,9.27
650,4.15,4.53,9.67
660,3.85,4.5,9.77
670,3.39,4.48,9.97
680,3.17,4.57,10.05
690,3.55,4.61,10.03
700,4.07,4.56,10.21
710,4.58,4.5,10.65
720,4.77,4.51,11.09
730,4.46,4.48,11.4
740,3.66,4.49,11.46
750,2.49,4.54,11.44
760,1.34,4.58,11.22
770,0.41,4.66,10.84
780,-0.4,4.71,10.62
790,-1.14,4.73,10.47
800,-1.85,4.77,10.34
810,-2.56,4.79,10.19
820,-3.21,4.89,9.91
830,-3.73,4.92,9.38
840,-4.19,5.0,8.67
850,-4.68,5.08,8.0
860,-5.07,5.17,7.62
870,-5.42,5.26,7.37
880,-5.68,5.29,7.1
890,-5.73,5.32,6.78
900,-5.54,5.31,6.44
910,-5.16,5.24,6.14
920,-4.8,5.16,6.04
930,-4.67,5.07,6.29
940,-4.52,4.99,6.75
950,-4.56,4.84,7.08
960,-4.97,4.75,7.07
970,-5.52,4.58,6.74
980,-5.78,4.34,6.23
990,-5.26,4.3,5.86
1000,-4.32,4.24,6.16
1010,-3.25,4.14,6.9
1020,-2.14,4.1,7.62
1030,-0.56,3.98,7.64
1040,0.74,3.89,7.11
1050,0.77,4.03,7.05
1060,0.21,4.16,7.59
1070,-0.5,4.27,8.15
1080,-0.82,4.39,8.13
1090,-0.98,4.37,7.84
1100,-1.11,4.35,7.48
1110,-0.84,4.3,7.13
1120,-0.13,4.19,7.1
1130,0.42,4.03,7.86
1140,0.65,3.88,9.45
1150,0.99,3.85,11.31
1160,1.45,3.75,13.14
1170,1.77,3.69,14.5
1180,2.06,3.72,15.42
1190,2.39,3.79,15.82
1200,2.77,3.77,15.52
1210,3.47,3.61,14.62
1220,4.6,3.53,13.56
1230,6.5,3.45,12.85
