timestamp,x,y,z
0,4.29,4.9,7.79
10,4.38,4.86,7.86
20,4.6,4.36,8.08
30,4.58,4.7,8.2
40,4.7,5.0,8.2
50,5.11,4.89,8.33
60,5.54,4.9,8.22
70,5.45,4.96,8.19
80,5.26,5.22,8.32
90,5.04,5.42,8.43
100,4.87,5.59,8.87
110,4.55,5.62,9.2
120,4.33,5.61,9.35
130,3.83,5.65,9.28
140,3.14,5.75,9.22
150,2.82,5.76,9.22
160,2.97,5.56,9.13
170,3.36,5.11,8.95
180,3.95,4.8,8.9
190,4.08,4.37,9.0
200,3.78,4.42,9.39
210,3.44,4.41,9.7
220,3.15,4.56,9.9
230,2.61,4.63,10.08
240,1.7,4.73,10.11
250,0.44,4.72,10.03
260,-1.06,4.4,10.46
270,-2.54,4.56,10.15
280,-3.91,4.97,9.87
290,-4.68,5.11,9.71
300,-5.26,5.14,9.72
310,-5.88,5.37,9.56
320,-6.25,5.44,9.45
330,-6.46,5.52,9.77
340,-6.6,5.81,9.69
350,-6.34,5.87,9.44
360,-5.62,5.69,9.13
370,-4.8,5.5,8.83
380,-4.14,5.47,8.53
390,-3.67,5.45,8.23
400,-3.53,5.37,7.92
410,-3.68,5.3,7.59
420,-3.84,5.22,7.25
430,-3.81,5.11,6.95
440,-3.54,4.93,6.68
450,-3.08,4.77,6.35
460,-2.55,4.65,6.26
470,-2.05,4.47,6.38
480,-1.63,4.36,6.94
490,-1.05,4.14,7.46
500,-0.34,4.03,8.01
510,0.21,4.03,8.54
520,-0.23,4.16,8.81
530,-0.92,4.36,8.95
540,-1.79,4.45,8.78
550,-2.05,4.46,8.3
560,-1.45,4.46,7.84
570,-0.43,4.47,7.81
580,0.53,4.48,8.25
590,1.4,4.51,9.03
600,2.27,4.48,9.87
610,2.91,4.37,10.51
620,2.66,4.88,11.45
630,2.91,4.72,12.47
640,4.92,4.15,13.29
650,7.24,3.9,13.85
660,9.08,3.88,13.43
670,10.06,4.06,12.94
680,9.9,4.27,12.89
690,8.95,4.41,13.14
700,8.06,4.13,12.47
710,6.96,4.09,11.96
720,6.22,4.12,11.43
730,5.89,3.96,10.65
740,5.87,3.98,9.91
750,6.79,3.69,9.12
760,7.51,3.57,8.72
770,7.25,3.61,8.57
780,6.51,3.62,8.39
790,5.72,3.51,7.98
800,4.79,3.38,7.47
810,3.72,3.22,6.85
820,3.06,3.17,6.21
830,2.85,3.2,5.82
840,2.77,3.08,5.63
850,2.64,2.95,5.61
860,2.56,2.93,5.79
870,2.99,2.77,5.95
880,3.82,2.64,6.02
890,4.02,2.55,6.2
900,3.88,2.52,6.34
910,4.18,2.26,6.2
920,4.75,2.18,6.22
930,5.26,2.16,6.95
940,5.23,2.1,8.27
950,5.01,1.91,9.8
960,4.75,2.47,11.18
970,5.2,2.29,11.77
980,6.25,2.09,11.48
990,6.89,2.14,11.34
1000,5.85,2.15,11.73
1010,4.19,2.25,12.03
1020,3.4,2.58,11.66
1030,3.35,3.03,10.89
1040,3.73,3.4,10.15
1050,3.9,3.74,9.56
1060,3.24,4.05,9.42
1070,1.8,4.39,9.84
1080,-0.92,4.61,10.75
1090,-3.31,4.93,11.71
1100,-4.05,5.6,11.83
1110,-3.85,6.08,11.28
1120,-3.28,6.3,10.71
1130,-2.78,6.55,10.53
1140,-2.45,6.71,10.45
1150,-2.41,6.85,10.49
1160,-2.49,6.93,10.54
1170,-2.54,6.94,10.43
1180,-2.5,6.89,10.12
1190,-2.35,6.83,9.61
1200,-1.98,6.7,9.28
1210,-1.3,6.62,9.26
1220,-0.68,6.51,9.26
1230,-0.42,6.46,9.16
1240,-0.41,6.35,9.2
1250,-0.34,6.27,9.13
1260,-0.29,6.19,8.82
1270,-0.45,6.13,8.5
1280,-0.51,6.04,8.31
1290,-0.54,6.0,8.17
1300,-0.58,5.94,8.18
1310,-0.36,5.87,8.24
1320,-0.23,5.86,8.17
1330,-0.25,5.81,8.1
1340,-0.42,5.82,8.08
1350,-0.32,5.81,8.1
1360,-0.16,5.82,8.03
1370,-0.15,5.81,7.93
1380,-0.02,5.73,7.96
1390,0.18,5.69,8.06
1400,0.25,5.78,8.21
1410,0.28,5.78,8.08
1420,0.18,5.79,7.75
1430,0.13,5.77,7.66
1440,0.31,5.71,7.87
1450,0.47,5.7,7.96
1460,0.47,5.67,8.0
1470,0.4,5.69,8.08
1480,0.31,5.71,8.52
1490,0.63,5.71,9.1
1500,0.92,5.72,9.29
1510,0.93,5.73,9.14
1520,0.88,5.78,8.94
1530,0.91,5.79,8.85
1540,0.84,5.76,8.82
1550,0.75,5.82,8.91
1560,0.75,5.87,9.03
1570,0.78,5.89,9.04
1580,0.76,5.89,8.9
1590,0.74,5.86,8.88
1600,0.76,5.85,8.93
1610,0.69,5.91,8.93
1620,0.65,5.97,8.9
1630,0.6,5.97,8.75
1640,0.45,5.96,8.58
1650,0.4,5.95,8.44
1660,0.35,5.95,8.46
1670,0.29,5.95,8.56
1680,0.29,5.99,8.57
1690,0.34,5.99,8.56
1700,0.37,5.94,8.49
1710,0.34,5.91,8.43
1720,0.28,5.88,8.47
1730,0.3,5.89,8.5
1740,0.3,5.89,8.51
1750,0.28,5.88,8.65
1760,0.36,5.87,8.76
1770,0.39,5.89,8.73
1780,0.42,5.91,8.61
1790,0.46,5.9,8.49
1800,0.51,5.9,8.43
1810,0.48,5.91,8.39
1820,0.42,5.9,8.39
1830,0.39,5.91,8.48
1840,0.42,5.92,8.52
1850,0.28,5.9,8.64
1860,0.29,5.88,8.79
1870,0.4,5.93,8.84
1880,0.4,5.94,8.76
1890,0.45,5.94,8.74
1900,0.55,5.93,8.77
1910,0.51,5.95,8.71
1920,0.47,5.97,8.63
1930,0.46,5.95,8.55
1940,0.44,5.96,8.47
1950,0.35,5.95,8.4
1960,0.35,5.93,8.48
1970,0.47,5.94,8.57
1980,0.52,5.96,8.65
1990,0.57,5.94,8.7
2000,0.6,5.95,8.63
