24.61,9.73,8.10
23.27,8.42,8.01
21.39,7.09,7.84
19.17,6.10,7.91
16.68,5.22,7.77
14.56,4.79,7.81
12.64,4.51,7.71
11.11,4.33,7.77
9.26,4.00,8.20
8.29,4.15,8.21
8.58,4.66,7.91
9.71,5.44,7.76
11.21,6.36,7.25
12.84,7.10,6.88
13.97,7.80,6.90
14.90,8.17,7.23
15.62,8.60,7.89
16.62,9.56,9.01
17.79,10.98,10.20
17.99,12.56,11.20
17.60,14.65,12.15
16.90,17.18,13.43
15.94,19.81,14.46
14.60,22.59,15.11
12.71,26.29,16.22
10.31,31.05,17.25
5.72,37.42,19.11
-4.94,40.96,23.16
-20.67,39.85,29.49
-33.31,30.74,26.59
-39.88,20.38,20.88
-38.78,14.88,17.72
-33.54,13.26,14.71
-29.51,12.09,10.05
-27.55,11.34,7.90
-27.08,10.44,7.96
-27.40,8.93,8.91
-26.39,8.07,9.96
-25.55,7.69,10.58
-24.21,7.40,9.94
-23.11,7.32,9.03
-22.97,6.51,8.08
-23.00,5.11,6.18
-23.82,6.30,8.18
-22.20,5.39,5.14
-18.94,7.28,5.74
-16.76,8.31,6.73
-15.98,8.11,7.01
-15.18,8.54,7.87
-14.40,8.60,7.30
-14.35,8.64,6.80
-14.88,8.84,7.25
-16.83,9.37,8.73
-18.13,10.26,9.63
-17.54,12.26,9.34
-15.54,14.74,8.24
-14.02,17.02,6.81
-12.69,19.02,5.58
-11.90,21.17,4.80
-10.02,23.57,4.69
-7.03,25.81,5.41
-2.93,27.45,6.09
1.90,27.92,6.56
5.86,27.35,7.86
8.49,25.52,10.41
10.19,23.50,13.19
11.95,21.45,16.12
12.28,18.85,18.81
13.42,16.36,19.16
14.71,14.80,19.71
14.71,13.44,20.50
13.86,12.91,20.74
14.33,11.44,19.01
13.68,10.78,16.08
12.24,11.37,16.90
12.41,11.48,15.67
10.48,9.43,13.59
9.66,8.54,12.96
9.68,8.28,12.58
9.69,7.47,10.91
9.64,6.94,9.04
9.13,6.76,8.02
7.62,6.10,7.45
5.45,5.33,7.50
3.40,4.75,8.11
1.21,4.50,9.02
0.48,4.12,9.67
0.27,3.88,9.80
-0.03,3.05,9.22
-1.39,1.92,10.43
-0.07,1.54,6.93
1.69,3.92,8.83
0.19,2.49,8.86
-1.58,1.00,9.75
-1.26,1.39,10.56
-1.34,1.81,10.58
-2.33,1.50,10.78
-3.51,1.43,11.48
-3.22,1.72,11.56
-3.94,1.56,12.71
-4.05,1.79,13.59
