-5.95,3.39,8.32
-5.06,3.64,9.31
-2.69,3.90,9.25
0.75,3.82,8.45
4.55,3.58,8.09
8.51,3.21,7.86
11.59,2.82,7.54
12.45,2.19,7.38
12.35,1.69,7.19
12.75,1.09,6.63
14.68,0.72,5.85
17.42,0.40,4.97
20.44,0.22,4.01
21.16,0.25,3.75
19.60,0.06,4.60
17.90,0.17,4.64
15.98,0.06,3.80
14.38,0.04,3.20
13.04,0.11,2.99
11.87,0.10,2.98
11.26,0.19,2.95
10.75,0.35,3.09
10.09,0.68,3.59
9.26,1.09,4.43
8.32,1.50,4.74
7.12,1.79,4.55
6.05,2.14,4.49
4.95,2.51,4.46
3.99,3.10,4.38
3.14,3.57,4.53
3.46,4.39,5.46
4.06,5.03,7.11
3.99,5.44,8.26
3.39,5.56,9.06
2.58,5.57,9.20
1.68,5.38,8.96
0.89,5.08,8.34
0.84,5.05,7.97
1.30,5.32,8.71
1.51,5.60,10.04
1.14,5.79,11.59
0.46,5.96,12.77
-0.55,5.67,13.38
-2.25,5.38,14.00
-4.28,5.20,14.68
-9.65,5.09,18.22
-10.24,4.97,16.96
-11.95,5.17,17.81
-13.22,5.29,19.11
-13.68,5.44,20.26
-13.79,5.29,21.04
-13.73,5.16,21.53
-13.70,4.99,21.09
-13.98,4.71,19.70
-14.12,4.35,17.82
-13.88,4.15,16.12
-12.79,4.22,14.80
-11.01,4.46,13.89
-9.19,4.72,13.39
-7.53,5.02,13.20
-6.62,5.40,13.08
-5.92,5.79,12.48
-5.27,6.21,11.73
-4.73,6.68,11.39
-3.77,7.15,10.63
-2.93,7.74,10.42
-1.96,8.27,10.31
-1.24,8.59,10.63
-0.45,8.77,10.94
1.28,8.86,10.65
4.19,8.98,9.73
7.07,8.96,8.25
9.37,8.61,6.67
10.87,8.44,5.91
11.54,8.04,5.15
12.27,7.41,4.24
13.92,6.57,3.66
17.21,5.74,4.32
22.39,5.26,4.94
26.53,5.15,4.58
25.63,4.76,6.44
22.34,4.76,7.72
18.46,4.64,7.99
15.55,4.82,8.04
13.30,5.05,8.50
11.66,5.45,9.98
10.52,5.99,12.24
9.67,6.23,14.61
8.93,6.71,17.26
7.77,6.99,19.66
6.73,6.94,20.34
6.10,6.87,19.99
5.83,6.69,19.52
6.20,6.77,19.01
6.38,6.74,17.70
5.83,6.57,15.77
4.83,6.34,13.18
3.43,5.88,10.87
2.32,5.34,9.65
1.54,5.07,9.49
0.44,5.23,9.16
